Id,survey_date,duration_min,"Do you confirm that you are aged 18 or over, have read the Participant Information Sheet, and agree to take part in this anonymous research study?","Do you understand that your answers are anonymous and that no identifying information (such as your name, email, or IP address) will be collected?",What is your age group,Gender,Are you currently an ATU Student?,"How often do you use AI tools (for example, ChatGPT, Gemini, Copilot, or similar)?",Your Online Activity.I sometimes go online "just for a minute" and end up staying much longer than I intended.,Your Online Activity.I often check social media or messaging apps without really thinking about it.,Your Online Activity.I find it hard to stop scrolling even when I know I should be doing something else.,Your Online Activity.I sometimes post or reply online before I've fully thought through what I want to say.,"Online Feelings.When someone is upset online, it rarely affects me emotionally.",Online Feelings.I don't feel as responsible for other people's feelings when I'm communicating online.,Online Feelings.It's easier for me to ignore someone's feelings in an online conversation than in person.,Online Feelings.I feel less emotionally involved in online conflicts than face-to-face arguments.,Online Norms.It's pretty normal for people to be rude or hostile online.,Online Norms.Swearing or insulting others is just part of online culture.,Online Norms.People should expect harsh comments if they post controversial opinions online.,Online Norms.Calling someone names online isn't a big deal compared to saying it in person.,"Your Sense of Online Anonymity.When I'm online, I feel like people don't really know who I am.",Your Sense of Online Anonymity.I feel more anonymous online than in face-to-face situations.,Your Sense of Online Anonymity.It would be hard for most people to connect my online activity back to me personally.,"Your Sense of Online Anonymity.I feel like I can ""blend in"" online and not stand out as a specific individual.",Online Reactions.Sometimes people deserve a harsh response online if they say something offensive.,"Online Reactions.If someone attacks me online, I feel justified in attacking them back.",Online Reactions.Making fun of someone online is acceptable if they started the argument.,Online Reactions.I can understand why people join in when others gang up on someone online.,Online Reactions.Posting a cutting comment can be a good way to shut down someone who's being annoying.,Online Reactions.I don't feel particularly guilty if I've been harsh to someone online.,Your Trust in AI Tools.I trust AI tools to give me generally accurate information.,Your Trust in AI Tools.I feel comfortable following suggestions made by AI systems.,Your Trust in AI Tools.I believe AI tools are designed with users' best interests in mind.,Your Trust in AI Tools.I am cautious about AI systems and rarely rely on them.,"Your Trust in AI Tools.Overall, I feel AI tools are safe to use.",How You Communicate with AI.I feel more comfortable expressing my true thoughts when I'm interacting with AI.,How You Communicate with AI.I sometimes say things to AI tools that I would not say to another person.,How You Communicate with AI.I feel less judged when I interact with AI than when I talk to people.,How You Communicate with AI.I am more direct or blunt when I'm communicating with or through AI systems.,How You Communicate with AI.Interacting with AI makes it easier to let off steam or vent.,How familiar or comfortable do you feel with the AI tools you use?,How do you see yourself?.I see myself as someone who is outgoing and talkative.,How do you see yourself?.I see myself as someone who is organised and keeps track of details.,How do you see yourself?.I see myself as someone who gets nervous or anxious easily.,How do you see yourself?.I see myself as someone who is sensitive to other people's feelings.,How do you see yourself?.I see myself as someone who enjoys new and unusual ideas.,How likely would you be to respond with a sharp or hostile message in this situation?,How serious do you think this situation is?,Which of the following responses sounds most like what you would do?,"To show that you are paying attention, please select ""Agree."""
76,2026-01-29,3.05,Yes,Yes,18-24,Man,Yes,Several times a week,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,8.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,10.0,5.0,Ignore it and move on.,Agree
77,2026-01-29,5.68,Yes,Yes,18-24,Man,Yes,Several times a week,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,7.0,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,6.0,4.0,Report or block the person.,Agree
78,2026-01-29,7.02,Yes,Yes,18-24,Woman,Yes,About once a month,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,5.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,8.0,5.0,Reply with a sharp or sarcastic comment.,Agree
79,2026-01-29,7.87,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,7.0,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,5.0,5.0,Reply calmly but firmly.,Agree
80,2026-01-29,3.15,Yes,Yes,18-24,Man,Yes,Several times a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7.0,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,7.0,8.0,Reply calmly but firmly.,Agree
81,2026-01-29,5.82,Yes,Yes,18-24,Prefer not to say,Yes,Less than once a month,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2.0,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,7.0,10.0,Reply with a sharp or sarcastic comment.,Agree
82,2026-01-29,6.45,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,5.0,Strongly agree,Neither Agree Nor Disagree,Strongly agree,Strongly agree,Strongly agree,4.0,8.0,Report or block the person.,Agree
83,2026-01-29,4.7,Yes,Yes,18-24,Woman,Yes,About once a month,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,6.0,Agree,Neither Agree Nor Disagree,Disagree,Agree,Strongly agree,6.0,7.0,Reply calmly but firmly.,Agree
84,2026-01-29,7.48,Yes,Yes,18-24,Man,Yes,About once a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,7.0,Neither Agree Nor Disagree,Disagree,Strongly agree,Disagree,Disagree,8.0,6.0,Reply with a sharp or sarcastic comment.,Agree
85,2026-01-29,9.95,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Agree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,8.0,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,10.0,7.0,Reply with a sharp or sarcastic comment.,Agree
86,2026-01-29,10.07,Yes,Yes,18-24,Woman,Yes,About once a month,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,5.0,Agree,Agree,Agree,Agree,Agree,9.0,8.0,Reply with a sharp or sarcastic comment.,Agree
87,2026-01-29,18.58,Yes,Yes,18-24,Woman,Yes,About once a week,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,8.0,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,9.0,5.0,Reply with a sharp or sarcastic comment.,Agree
88,2026-01-29,5.62,Yes,Yes,18-24,Man,Yes,Less than once a month,Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,3.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,7.0,4.0,Reply with a sharp or sarcastic comment.,Agree
89,2026-01-29,39.77,Yes,Yes,18-24,Man,Yes,About once a month,Strongly Agree,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Disagree,Agree,Strongly agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,5.0,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,5.0,3.0,Report or block the person.,Agree
90,2026-01-29,5.08,Yes,Yes,18-24,Man,Yes,Several times a week,Disagree,Agree,Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,8.0,Agree,Agree,Disagree,Strongly Disagree,Strongly agree,8.0,1.0,Reply with a sharp or sarcastic comment.,Agree
91,2026-01-29,4.53,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6.0,Strongly Disagree,Agree,Strongly agree,Agree,Neither Agree Nor Disagree,2.0,1.0,Ignore it and move on.,Agree
92,2026-01-29,5.28,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,5.0,Agree,Agree,Agree,Disagree,Disagree,4.0,7.0,Ignore it and move on.,Agree
93,2026-01-29,3.67,Yes,Yes,25-34,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly agree,Agree,Agree,1.0,6.0,Ignore it and move on.,Agree
94,2026-01-30,1.88,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Agree,Strongly agree,Neither Agree Nor Disagree,1.0,1.0,Ignore it and move on.,Agree
95,2026-01-30,5.92,Yes,Yes,18-24,Woman,Yes,About once a month,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,3.0,Disagree,Agree,Strongly agree,Agree,Disagree,1.0,7.0,Talk to someone else about it privately.,Agree
96,2026-02-03,6.28,Yes,Yes,18-24,Prefer not to say,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly agree,8.0,4.0,Report or block the person.,Agree
97,2026-02-03,19.98,Yes,Yes,18-24,Woman,Yes,Daily,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,8.0,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,3.0,5.0,Ignore it and move on.,Agree
98,2026-02-05,7.5,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,8.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.0,4.0,Ignore it and move on.,Agree
99,2026-02-05,3.67,Yes,Yes,18-24,Man,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly agree,5.0,2.0,Talk to someone else about it privately.,Agree
100,2026-02-05,7.77,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Neither Agree Nor Disagree,Agree,4.0,4.0,Ignore it and move on.,Agree
101,2026-02-05,5.48,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,6.0,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,7.0,8.0,Reply calmly but firmly.,Agree
102,2026-02-05,8.97,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Strongly agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10.0,Neither Agree Nor Disagree,Disagree,Strongly agree,Agree,Neither Agree Nor Disagree,5.0,10.0,Ignore it and move on.,Agree
103,2026-02-05,2.93,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5.0,Agree,Agree,Agree,Agree,Agree,5.0,5.0,Reply calmly but firmly.,Agree
104,2026-02-05,5.03,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,7.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,6.0,8.0,Ignore it and move on.,Agree
105,2026-02-05,7.63,Yes,Yes,18-24,Woman,Yes,Less than once a month,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5.0,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,2.0,5.0,Report or block the person.,Agree
106,2026-02-05,7.8,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,5.0,Disagree,Disagree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,7.0,6.0,Reply with a sharp or sarcastic comment.,Agree
107,2026-02-05,1.23,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly agree,Agree,Strongly agree,7.0,6.0,Ignore it and move on.,Agree
108,2026-02-05,3.75,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Strongly Disagree,8.0,Strongly Disagree,Agree,Strongly agree,Agree,Strongly agree,5.0,3.0,Reply calmly but firmly.,Agree
109,2026-02-05,4.2,Yes,Yes,18-24,Woman,Yes,Several times a week,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,7.0,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,1.0,3.0,Ignore it and move on.,Agree
110,2026-02-05,2.45,Yes,Yes,18-24,Man,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,7.0,2.0,Reply with a sharp or sarcastic comment.,Agree
111,2026-02-05,5.05,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,5.0,7.0,Report or block the person.,Agree
112,2026-02-05,6.0,Yes,Yes,18-24,Woman,Yes,Several times a week,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,7.0,Agree,Strongly agree,Strongly agree,Agree,Agree,8.0,3.0,Reply with a sharp or sarcastic comment.,Agree
113,2026-02-05,4.45,Yes,Yes,25-34,Woman,Yes,About once a month,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,4.0,Strongly Disagree,Agree,Strongly agree,Strongly agree,Disagree,1.0,5.0,Ignore it and move on.,Agree
114,2026-02-05,5.63,Yes,Yes,18-24,Man,Yes,About once a month,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,6.0,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,5.0,2.0,Report or block the person.,Agree
115,2026-02-05,4.6,Yes,Yes,18-24,Woman,Yes,About once a month,Agree,Agree,Agree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5.0,Strongly Disagree,Agree,Agree,Agree,Agree,3.0,6.0,Ignore it and move on.,Agree
